Diesel Price (Dollars US par gallon),Phosphate / Diesel Price Ratio,Months,Predicted Price MLR,Predicted Price TR,Predicted Price RF
2.22,198466.0,July 2023,60.55436208363878,44.0,44.0
2.25,195817.0,August 2023,65.08012577182687,44.0,44.49107142857143
1.81,243094.0,September 2023,44.63894452225533,44.0,44.49107142857143
1.79,245262.0,October 2023,44.79662795263269,44.0,44.0
1.81,242960.0,November 2023,43.14345605069046,44.0,44.0
1.83,240044.0,December 2023,40.04705585751138,44.0,44.0
1.63,269939.0,January 2024,31.235707528667163,44.0,56.44642857142857
1.76,250142.0,February 2024,32.33475008840951,44.0,44.982142857142854
1.89,232681.0,March 2024,35.2023913100643,44.0,44.0
2.05,214321.0,April 2024,47.743824443446314,44.0,44.0
2.04,215264.0,May 2024,49.25539964607982,44.0,44.0
2.12,207547.0,June 2024,57.491903918083906,44.0,44.0
2.15,205033.0,July 2023,57.12985490456094,44.0,44.0
2.11,208927.0,August 2023,58.227044141186056,44.0,44.0
2.32,248922.0,September 2023,78.68492032234927,57.75,53.82142857142857
2.42,295821.0,October 2023,94.20157736724302,71.5,73.10285714285715
2.7,264815.0,November 2023,104.53720184927045,71.5,72.07142857142857
2.63,271760.0,December 2023,97.27812345050877,71.5,71.96000000000001
2.59,276062.0,January 2024,94.50077082604673,71.5,72.64285714285714
2.77,257751.0,February 2024,99.09265577823601,71.5,74.82214285714288
3.25,219797.0,March 2024,121.17442777078381,71.5,77.17428571428572
3.44,465815.0,April 2024,180.46452404543425,160.38,156.65071428571432
3.82,497252.0,May 2024,212.423789294231,190.0,196.5625
3.89,488809.0,June 2024,219.8890564860105,190.0,204.60714285714286
3.85,624187.0,July 2023,238.3581069232556,240.0,221.91107142857143
3.27,886037.0,August 2023,248.1681059817596,290.0,292.25
3.04,914173.0,September 2023,238.09534929407567,278.0,282.60714285714283
2.4,1877347.0,October 2023,360.9258892086988,450.0,363.7142857142857
1.92,2340094.0,November 2023,405.67432134438707,450.0,443.57142857142856
1.44,3133705.0,December 2023,505.15499805727984,450.0,438.75
1.5,3008021.0,January 2024,486.8309795891865,450.0,438.75
1.31,3445635.0,February 2024,544.7048542940129,450.0,414.05357142857144
1.34,3363229.0,March 2024,530.084265825604,450.0,414.05357142857144
1.45,2173913.0,April 2024,340.94314184804784,315.0,337.5
1.52,1776316.0,May 2024,280.09988474090824,270.0,298.375
1.82,1087912.0,June 2024,187.24102218396962,198.0,192.45000000000002
1.72,522648.0,July 2023,83.08327973919047,90.0,89.82178571428572
1.93,467047.0,August 2023,90.30292214343791,90.0,90.74642857142858
1.8,501393.0,September 2023,87.76459308677337,90.0,91.85928571428572
1.98,454087.0,October 2023,92.50197497928325,90.0,89.32142857142857
2.0,450450.0,November 2023,90.62256104535285,90.0,90.26785714285714
1.98,454545.0,December 2023,86.1215044767155,90.0,90.29285714285713
2.07,435624.0,January 2024,87.83518445190353,90.0,89.64285714285714
2.04,442260.0,February 2024,83.04258584424501,90.0,89.375
2.16,416860.0,March 2024,83.91660513419164,90.0,89.46214285714287
2.28,394046.0,April 2024,93.11041193200735,90.0,89.89285714285714
2.14,421348.0,May 2024,90.66241147305436,90.0,90.60285714285715
2.11,426945.0,June 2024,94.02501219318532,90.0,89.47714285714287
2.07,477977.0,July 2023,98.19997242063812,98.75,100.29928571428572
2.12,589067.0,August 2023,123.29745300025205,125.0,125.65214285714286
2.18,574713.0,September 2023,124.82178985581919,125.0,126.29178571428572
2.3,543242.0,October 2023,128.35351171482625,125.0,127.83928571428571
2.38,525873.0,November 2023,128.03615256591257,125.0,124.89285714285714
2.5,500000.0,December 2023,127.53125764645067,125.0,126.72500000000001
2.64,473126.0,January 2024,131.13815563960156,125.0,119.6882142857143
2.84,492958.0,February 2024,143.49052703364623,140.0,137.17892857142857
3.13,463111.0,March 2024,154.63035011434056,145.0,148.96928571428572
3.27,443290.0,April 2024,165.62778386009143,145.0,145.95607142857145
3.04,484349.0,May 2024,159.6773590956501,147.0,150.51785714285714
3.05,507531.0,June 2024,168.6128926098016,155.0,160.17000000000002
3.17,510663.0,July 2023,175.0414882363484,161.88,163.7314285714286
3.01,606312.0,August 2023,183.90994354230364,182.5,182.1875
2.98,612416.0,September 2023,183.06747246418217,182.5,182.13392857142858
3.01,627493.0,October 2023,188.65385052026534,188.75,190.3125
3.1,630048.0,November 2023,192.36120750034672,195.0,194.375
2.94,663943.0,December 2023,183.83551837513772,195.0,193.77428571428572
3.08,633117.0,January 2024,186.77267216572892,195.0,193.92857142857142
3.22,589513.0,February 2024,184.48535197740722,190.0,187.76785714285714
3.3,484555.0,March 2024,169.28389356816336,160.0,161.54035714285715
3.24,570635.0,April 2024,185.26429487350123,185.0,184.28571428571428
2.99,652829.0,May 2024,184.98860150387623,195.0,192.335
2.71,712657.0,June 2024,181.3366606246353,193.13,185.22000000000006
2.92,645327.0,July 2023,181.65790196199762,188.5,186.95107142857142
3.18,574080.0,August 2023,189.46703208302077,182.5,182.5
3.23,565191.0,September 2023,191.26931868985292,182.5,183.21428571428572
3.24,563968.0,October 2023,192.7969366746554,182.5,183.39285714285714
3.18,573899.0,November 2023,188.03127075196375,182.5,182.5
3.07,594463.0,December 2023,180.4873916686634,182.5,182.54464285714286
3.1,588141.0,January 2024,180.44700770359685,182.5,183.4375
3.24,563794.0,February 2024,181.4231652755717,182.5,183.75
3.04,526836.0,March 2024,159.5959871229976,160.0,159.88857142857142
2.9,384483.0,April 2024,131.6783027443194,111.5,112.02964285714286
2.89,545360.0,May 2024,160.2938428488206,157.5,157.85714285714286
2.89,434556.0,June 2024,145.874608808784,125.63,129.9328571428572
3.02,381047.0,July 2023,143.35247398816634,115.0,112.80714285714285
3.07,374837.0,August 2023,148.57116029646158,115.0,111.49285714285715
3.05,319882.0,September 2023,138.02924169452868,97.5,98.26
3.0,281736.0,October 2023,129.41031790528078,84.38,86.40571428571432
2.94,297822.0,November 2023,125.68773790535099,87.5,92.67214285714286
3.05,318161.0,December 2023,132.3661740685558,96.88,98.03857142857146
3.12,312801.0,January 2024,135.08162829246183,97.5,97.72357142857143
3.23,302138.0,February 2024,136.43220279709325,97.5,96.65214285714286
2.99,356164.0,March 2024,127.43124628564604,106.6,106.28785714285712
2.96,376944.0,April 2024,134.28988330019953,111.5,111.98571428571428
2.94,383617.0,May 2024,136.12431772112194,112.63,111.69821428571433
2.96,376097.0,June 2024,140.5049949961545,111.4,111.80107142857148
2.88,385551.0,July 2023,135.04093623221462,111.0,111.28607142857143
2.85,389474.0,August 2023,136.79124217730723,111.0,111.25785714285715
2.74,406496.0,September 2023,132.61342444018584,111.38,110.59785714285718
2.53,458136.0,October 2023,128.83927255660478,116.0,112.39750000000001
2.43,491770.0,November 2023,125.49773827189776,119.5,118.72785714285715
2.03,587512.0,December 2023,111.89639077016196,119.5,119.36607142857143
1.68,712157.0,January 2024,109.41926396021731,119.5,117.74142857142859
1.99,608990.0,February 2024,108.05725630042676,121.25,119.4814285714286
1.86,662716.0,March 2024,106.13568184594163,123.0,121.24857142857142
1.84,619235.0,April 2024,102.75222939928594,114.13,111.82678571428576
1.97,562341.0,May 2024,103.53701554736614,110.5,109.58642857142857
1.89,629767.0,June 2024,114.13674710001646,118.9,117.38642857142861
1.68,718527.0,July 2023,113.68602418585844,121.0,117.56285714285715
1.52,798153.0,August 2023,119.8390666988952,121.0,119.72321428571429
1.52,817942.0,September 2023,123.26039454840458,124.0,122.08928571428571
1.47,838995.0,October 2023,124.67390675291448,123.5,119.22321428571429
1.41,874027.0,November 2023,124.16209944066077,123.5,157.63392857142858
1.14,1085237.0,December 2023,138.5557048819975,123.5,134.50821428571427
0.98,1252298.0,January 2024,155.5826439742715,122.6,163.475
1.04,1105212.0,February 2024,130.5726449475905,114.5,129.05714285714285
1.19,962185.0,March 2024,113.45705964125159,114.5,122.71892857142858
1.25,915237.0,April 2024,114.67167249055741,114.13,129.31178571428578
1.42,776529.0,May 2024,104.18427402622335,110.5,107.73392857142858
1.49,741113.0,June 2024,107.07843535372082,110.5,115.5
1.37,806569.0,July 2023,108.5122096443838,110.5,112.94642857142857
1.4,784489.0,August 2023,109.7450078467578,109.75,111.14285714285714
1.42,768688.0,September 2023,108.43131371521437,109.0,110.52678571428571
1.56,699166.0,October 2023,106.81094869375079,109.0,108.635
1.46,704033.0,November 2023,98.59427992649451,103.0,104.51785714285714
1.64,593788.0,December 2023,87.68010111066867,97.5,98.01214285714288
1.62,596919.0,January 2024,86.00070365796302,96.88,98.60607142857147
1.62,584975.0,February 2024,80.00396453067111,95.0,95.26071428571429
1.53,638089.0,March 2024,80.57148297800546,97.5,98.11714285714287
1.59,602963.0,April 2024,83.78956646563631,95.63,95.59785714285718
1.51,610964.0,May 2024,81.95984410545132,92.5,93.32607142857144
1.42,652788.0,June 2024,87.57261064698768,92.5,93.67857142857143
1.52,608153.0,July 2023,84.60974356512176,92.5,92.96892857142858
1.63,544145.0,August 2023,83.92263343626894,88.75,89.10749999999999
1.79,474595.0,September 2023,82.57494233014793,85.0,86.02000000000001
1.8,444692.0,October 2023,79.24216969515993,80.0,79.43928571428572
1.92,417537.0,November 2023,79.85918854060557,80.0,80.25357142857145
1.94,411523.0,December 2023,76.2377712574645,80.0,79.89285714285714
2.07,385728.0,January 2024,79.37932495521372,80.0,82.34607142857145
1.94,425916.0,February 2024,73.79075240635828,82.5,80.72142857142856
1.93,438860.0,March 2024,72.73629023200529,84.7,83.57857142857144
2.08,423280.0,April 2024,85.1006470073728,88.0,88.76785714285714
2.23,394619.0,May 2024,91.96647500030275,88.0,88.85285714285715
2.15,404474.0,June 2024,92.80966720943998,86.8,87.50785714285715
2.14,405981.0,July 2023,90.53624745668009,86.88,87.18428571428576
2.15,406410.0,August 2023,94.28723466599673,87.5,87.75785714285715
2.25,388544.0,September 2023,97.80920233142407,87.5,86.5625
2.33,391295.0,October 2023,104.5477074647329,91.25,91.29035714285715
2.05,451660.0,November 2023,94.06862980422015,92.5,91.78571428571429
1.8,550639.0,December 2023,90.7388869921415,99.17,97.03357142857145
1.85,555255.0,January 2024,93.84856663729164,102.5,101.7075
1.96,522426.0,February 2024,91.4426760624853,102.5,101.92857142857143
1.99,495473.0,March 2024,86.21969014077231,98.5,98.8125
2.06,472842.0,April 2024,92.20349945354806,97.5,97.01785714285714
2.03,480059.0,May 2024,93.48192329658664,97.5,100.23214285714286
1.85,528169.0,June 2024,94.32615750193543,97.5,97.24714285714286
1.92,416667.0,July 2023,78.08675460465288,80.0,80.16428571428573
1.82,427632.0,August 2023,76.49305147193687,78.0,79.53928571428573
1.94,399485.0,September 2023,79.5691054616209,77.5,78.10000000000001
1.94,400103.0,October 2023,80.76051505242614,77.5,78.28571428571429
1.93,382825.0,November 2023,74.62475885708771,74.0,75.21428571428571
1.99,364688.0,December 2023,71.54166891006153,72.5,76.14500000000001
1.86,390625.0,January 2024,66.5969741733716,72.5,73.91071428571429
1.62,446979.0,February 2024,56.61782561963199,72.5,76.38571428571429
1.19,604034.0,March 2024,52.761321814593074,71.88,72.83928571428575
0.88,803977.0,April 2024,71.83299788873698,70.75,80.18678571428572
0.89,821872.0,May 2024,77.51382739849862,72.9,78.33142857142859
1.12,667260.0,June 2024,70.57911332911455,75.0,77.18821428571428
1.24,604839.0,July 2023,65.89846257145204,75.0,75.26857142857143
1.23,627080.0,August 2023,72.04951841595427,76.88,77.1464285714286
1.12,707487.0,September 2023,78.6135367818809,79.38,81.15500000000004
1.15,693241.0,October 2023,79.23055520950817,80.0,81.61607142857143
1.24,664787.0,November 2023,77.68282666904977,82.5,82.32642857142856
1.44,577078.0,December 2023,71.88422089190398,83.33,85.94999999999997
1.58,539683.0,January 2024,73.70812830936399,85.0,87.13607142857143
1.79,492897.0,February 2024,75.4189701902174,88.13,88.96142857142863
1.85,519428.0,March 2024,81.20450726437235,96.25,96.54464285714286
1.86,510478.0,April 2024,85.61761883810038,95.0,95.22928571428572
2.02,506423.0,May 2024,97.30162003400932,102.5,102.08928571428571
2.12,589345.0,June 2024,122.19509143045318,125.0,124.80357142857143
2.13,587682.0,July 2023,120.68085694537147,125.0,123.64285714285714
2.07,661896.0,August 2023,132.39875038847902,136.88,133.28428571428577
2.2,670150.0,September 2023,142.29187253792128,147.5,144.24
2.52,584622.0,October 2023,149.6266132840783,147.5,146.64357142857145
2.39,640443.0,November 2023,148.10049667958987,153.13,152.8653571428572
2.25,784851.0,December 2023,159.5998152359237,176.67,162.8389285714286
2.62,661812.0,January 2024,161.81830880361943,173.13,167.23642857142863
2.87,600627.0,February 2024,163.68176501324314,172.5,171.91071428571428
3.78,472884.0,March 2024,198.41971305485654,178.75,180.16535714285715
4.04,617269.0,April 2024,245.02351125541196,249.5,240.585
4.65,548859.0,May 2024,274.9703846916521,255.0,243.33928571428572
4.36,659101.0,June 2024,279.21388651935825,287.5,270.10714285714283
3.7,865801.0,July 2023,269.5813245364684,320.0,313.2142857142857
3.6,889878.0,August 2023,270.2097079381559,320.0,315.35714285714283
3.44,931587.0,September 2023,266.97457792336354,320.0,311.07142857142856
4.35,730725.0,October 2023,293.0076249679388,317.5,296.23214285714283
4.06,738371.0,November 2023,272.94607279711903,300.0,293.82142857142856
3.12,962464.0,December 2023,246.0934163488542,300.0,300.60714285714283
3.27,918274.0,January 2024,247.4139793314954,300.0,296.10714285714283
2.83,1138771.0,February 2024,252.288051840754,322.5,305.0464285714285
2.75,1255916.0,March 2024,264.3550858964104,345.0,335.64750000000004
2.59,1330505.0,April 2024,271.9060901543023,345.0,336.1653571428572
2.35,1470588.0,May 2024,282.089029576167,345.0,328.85714285714283
2.43,1416530.0,June 2024,282.47213908834857,344.5,321.89750000000004
